brand,model,screen_size (inches),color,harddisk (in GB),cpu,ram (GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed (GHz),rating,price
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
Lenovo,,15.60,,,,8.00,,Backlit Keyboard,Dedicated,,,4.80,690.00
Dell,Latitude 5530,15.60,,512.00,Core i7 Family,32.00,Windows 11 Pro,Anti-glare,,Intel Iris Xe Graphics,4.70,,1488.95
LG,16Z90Q-K.AAS6U1,16.00,Gray,512.00,Core i5,16.00,Windows 11 Home,Lightweight,Dedicated,,,4.10,900.90
HP,Chromebook,14.00,Snow White,32.00,Celeron,4.00,Chrome OS,"Speakers: Stereo, Keyboard: Chiclet,",Integrated,,,4.40,297.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Lenovo,ThinkPad X1 Carbon Gen 10,14.00,Black,512.00,Core i7,16.00,Windows 11,Anti-glare Screen,Iris Xe Graphics,,,2.00,1637.24
acer,CB5-132T-C67Q,11.60,Blue,,8032,4.00,Chrome OS,Memory Card Slot,Integrated,intergrated,,4.40,269.00
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
Dell,Latitude 7000,14.00,Carbon Fiber,256.00,Core i5,16.00,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,,917.24
Panasonic,CF-54,14.00,Silver/Black,256.00,Core i5,8.00,Windows 10,Touchscreen,"Integrated, Dedicated",,,3.80,700.00
ASUS,ASUS Chromebook CX1,11.60,Transparent Silver,,Celeron,4.00,Chrome OS,Anti-glare,Integrated,,2.80,1.00,198.00
ASUS,ASUS VivoBook,17.30,Silver,1000.00,Intel Core i5,12.00,Windows 11,,"Intel HD Graphics 5000, Integrated",Intel HD Graphics 5000,,4.00,519.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Latitude 5310 Multi-Touch 2-in-1,13.30,,256.00,Core i5,8.00,Windows 10 Pro,,Integrated,Intel UHD Graphics,1.70,,2199.00
HP,EliteBook 650 G9,15.60,,256.00,Core i5,16.00,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,939.19
Dell,Precision Workstation 5770,17.00,Silver,1000.00,Intel Core i9,32.00,Windows 11 Pro,Backlit Keyboard,Dedicated,,,,2949.00
Lenovo,Lenovo Thinkpad,14.00,Black,,Core i7-8650U,16.00,Windows 10 Pro,,,,,4.30,1599.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Lenovo,ThinkPad P14s Gen 3,14.00,Black,512.00,Ryzen 7,32.00,Windows 11,"Anti-reflection, Anti-smudge",Radeon 680M Graphics,,,,2148.82
MSI,,15.60,,,,64.00,,,,,3.50,5.00,1289.99
Lenovo,IdeaPad 3 15ITL6,15.60,Arctic Gray,256.00,Pentium,4.00,Windows 10 Home,Anti-glare Screen,UHD Graphics,,,5.00,349.99
HP,HP 14,14.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,599.99
Microsoft,LQS-00038,13.50,Cobalt,,Core i5 8400T,8.00,Windows 10 Home,,Integrated,,1.30,4.40,449.00
Dell,DELL Latitude 5300,13.30,,512.00,Core i5 8250U,16.00,Windows 10 Pro,Speakers,Integrated,Intel Integrated Graphics,,4.20,
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
ASUS,VivoBook Pro 16X,16.00,Black,1000.00,Core i7,32.00,Windows 11 Home,"Fingerprint Reader, High Definition Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",RTX 3050 Ti,,,3.30,1445.82
LG,16Z90P-K.AAB9U1,16.00,Black,1000.00,Core i7 Family,16.00,Windows 11,Alexa,Integrated,,,4.50,1546.84
Panasonic,CF-31 MK5,13.10,Silver/Black,480.00,Core i5 5300U,8.00,Windows 10,Anti-glare,Integrated,,,5.00,552.99
Acer,,,,1000.00,,16.00,Windows,,Dedicated,NVIDIA GeForce RTX 4050,,,1249.98
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Lenovo,ThinkPad E570,15.60,Black,256.00,Core i5,8.00,Windows 10 Professional 64-bit,Fingerprint Reader,Integrated,,,3.50,369.95
Dell,Latitude,15.60,Black,2 TB,Core i7 Family,64.00,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,5.00,1125.00
Dell,Latitude 7320 Detachable 2-in-1,13.00,Black,256.00,Core i5,8.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,1.00,749.99
Dell,7520,15.60,Black,256.00,Core i7,32.00,Windows 10 Pro,TrackPoint,"Integrated, Dedicated",,,,479.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ASUS,ASUS Vivobook 16 Laptop,16.00,Quiet Blue,512.00,Ryzen 7 5800H,12.00,Windows 11 Home,,Integrated,AMD Radeon Graphics,,,629.00
Dell,Dell Inspiron,13.30,Era Gray,256.00,,8.00,Windows 10 Home,"Backlit Keyboard,Spill-resistant",AMD Radeon,,,3.70,598.99
Lenovo,20VK0019US,13.30,Black,512.00,Core i7,16.00,Windows 10 Pro,"Fingerprint Reader,Pen",Integrated,,,3.70,849.00
Dell,Alienware m17 Ryzen Edition R5 Laptop,17.30,Dark Side of the Moon,512.00,AMD Ryzen 7,12.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3060,,,1486.99
Panasonic,Panasonic Toughbook,13.10,Silver/Black,1000.00,Core i5,16.00,Windows 10,Backlit Keyboard,Integrated,,,4.20,599.99
Dell,G15 5521 Laptop,15.60,Black,1000.00,Core i9,16.00,Windows 10 Home,,Integrated,NVIDIA GeForce RTX 3070 Ti,,,1767.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Latitude 7320 Detachable 2-in-1,13.00,Black,1000.00,Core i5,16.00,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,899.74
Dell,Precision 7770,17.00,,512.00,Intel Core i9,32.00,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA RTX A5500 16  GDDR6,,,3345.99
Lenovo,Chromebook,14.00,Gray,32 MB,,4.00,Chrome OS,Backlit Keyboard,Integrated,AMD Radeon R5,,4.10,289.00
Dell,Latitude 7440,14.00,,512.00,Intel Core i7,32.00,Windows 11 Pro,Anti-glare,Integrated,Intel Iris Xe Graphics,,,1535.99
Dell,Latitude Rugged 5430 Laptop,14.00,Silver,1000.00,Core i5,16.00,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,5.00,1499.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
HP,,11.60,,,Celeron,4.00,Chrome OS,,Integrated,,1.60,3.90,154.89
ASUS,ASUS VivoBook 17X,17.30,Blue,512.00,Ryzen 7 5800H,8.00,Windows 11 Home,Fingerprint Sensor,Integrated,,,3.80,743.66
MSI,Summit E13FlipEvo A13MT-220US,13.40,Ink Black,1000.00,Core i7,32.00,Windows 11 Pro,,Integrated,Intel Iris,,,1599.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
acer,A515-57G-58R7,15.60,Gray,512.00,Intel Core i5,8.00,Windows 11 Home,"Backlit Kb,Fingerprint Reader",Dedicated,,,4.20,879.99
Lenovo,,16.00,,,,16.00,Windows 11 Pro,Anti-glare,Integrated,AMD Radeon 680M,,,1488.64
Dell,Latitude 9520 Laptop,15.00,Black,512.00,Core i7,16.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,986.99
Dell,Precision 5560,15.60,,1000.00,Intel Core i9,16.00,Windows 10 Pro,,Integrated,NVIDIA RTX A2000 w/4 ,2.60,4.20,2499.99
SAMSUNG,XE350XBA-K05US,15.60,Silver,,Celeron N4000,4.00,Windows 10,,Integrated,,2.60,,268.99
acer,TMP614-51-G2-5442,14.00,Black,,Core i5,,Windows 10 Pro,Fingerprint Reader,Integrated,Intel UHD Graphics,4.40,4.10,1026.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Precision 7000,16.00,,1000.00,Core i9,64.00,Windows 11 Pro,Anti-glare Screen,RTX 3500 Ada,NVIDIA RTX 3500 Ada,,,3999.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
ASUS,Rog Strix Scar G533Z,15.60,Off Black,1000.00,Intel Core i9,32.00,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,2249.00
ASUS,CR1100FKA-YZ182T-S,11.60,,32.00,Celeron N,8.00,Chrome OS,Spill resistant,Integrated,Intel UHD Graphics,,,444.99
Panasonic,Panasonic Toughbook,15.40,Silver/Black,480.00,Core i5,16.00,Windows 10 Pro,"Stereo,Stereo/",Integrated,,,5.00,606.89
ASUS,Vi F5,15.60,Gray,128.00,Intel Core i3,8.00,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,,4.20,370.23
Apple,MacBook Pro,16.00,Silver,1000.00,Core i9 7960X,16.00,Mac OS,,Dedicated,Intel UHD Graphics 630,,4.70,1419.00
Dell,Precision 3000,14.00,,512.00,Core i7,16.00,Windows 10,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,1910.62
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
Lenovo,ThinkCentre M90s Gen 3,,Black,,Core i7-10700T,16.00,Windows 11,Security Slot,,,,,1169.00
Lenovo,IdeaPad Slim 7 Pro 14IHU5,14.00,Slate Gray,512.00,Core i5 Family,16.00,Windows 11 Home,,Iris Xe Graphics,Intel Iris Xe Graphics,,4.30,711.99
ASUS,ASUS VivoBook,15.60,,128.00,,4.00,Windows 10 Home,,Dedicated,AMD Radeon R7,,4.10,319.00
Panasonic,CF-52 MK5,15.40,grey/black,240.00,Core i5,8.00,Windows 10,Stereo Speakers,Dedicated,,,3.90,450.00
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Lenovo,IdeaPad 3 Lenovo,15.60,Abyss Blue,512.00,Core i5 Family,16.00,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,,659.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Lenovo,Lenovo,15.60,Iron Grey,256.00,Intel Core i5,12.00,Windows 10,,Integrated,INTEL,,4.40,899.99
MSI,Creator M16 B13VE-1251US,16.00,Black,1000.00,Core i9,16.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,,1599.00
Lenovo,130-15AST,15.60,Black,128.00,AMD A Series,4.00,Windows 10 Home,,Dedicated,AMD Radeon R5,,4.20,399.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
LG,16Z90R-N.APC5U1,16.00,Charcoal gray,512.00,Core i5,8.00,Windows 11 Pro,,Integrated,Intel HD Graphics 520,,,978.99
Dell,Latitude,15.60,,2 TB,Core i5,32.00,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5.00,1481.86
Dell,Inspiron,14.00,Silver,2 TB,Core i7 Family,64.00,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,5.00,993.23
Dell,5300,13.30,Gray,256.00,Core i7 Family,16.00,Windows 10 Pro,Backlit Keyboard,Integrated,,,4.20,1499.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
HP,ELITEBOOK 820G3,12.50,Black,500.00,Core i7,8.00,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,Integrated,Integrated Graphics,,,248.98
Lenovo,ThinkPad P16 G1,16.00,Storm Grey,2 TB,Core i7 Family,32.00,Windows 11 Pro,"Fingerprint Reader, TrackPoint, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,2.50,2119.00
LG,15ZB90Q-V.ARS5U1,15.00,,512.00,Core i5,8.00,Windows 11 Home,,Integrated,,3.30,,1469.44
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Alienware m15 R5 Ryzen Edition Laptop,15.60,Dark Side of the Moon,1000.00,AMD Ryzen 7,32.00,Windows 10 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3070,,,4.20,1986.99
MSI,MSI Katana 15,15.60,Black,1000.00,Core i7,16.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,4.40,1349.49
Dell,Latitude 5000,14.00,Titan Gray,256.00,Core i5,8.00,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,,726.07
MSI,CreatorPro M15 A11UIS-1292US,15.60,Black,512.00,Core i7,16.00,Windows 11 Pro,Thin Bezel,Dedicated,,,,1099.99
HP,HP Envy,14.00,,1000.00,Core i3,8.00,Windows 10,"Backlit Keyboard,Fingerprint Reader",Integrated,Intel HD Graphics 520,,4.60,587.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Dell Latitude,14.00,,320.00,Core i3,2.00,Windows 7 Home Premium,,Integrated,Intel HD 4000,2.40,3.00,99.99
HP,14-fq0013dx,14.00,,,AMD A Series,4.00,Windows 10 S,,,,,4.30,207.99
Dell,Precision 3000,15.60,,512.00,Core i7,16.00,Windows 11,Anti-glare Screen,RTX A500,NVIDIA RTX A500,,,1910.11
HP,HP Laptop 15-dy2031nr,15.60,,,Core i3,8.00,Windows 11,,Integrated,,,5.00,479.99
acer,CP311-2H-C3KA,11.60,Silver,64.00,Celeron N,4.00,Chrome OS,,Integrated,Intel,,4.50,316.39
HP,056-01-4094,11.60,,32.00,MediaTek MT8183,4.00,Chrome OS,Stereo Speakers,Integrated,MediaTek Integrated,,4.20,168.00
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
Lenovo,ThinkBook 14s Yoga G2 IAP,14.00,,512.00,Core i7,16.00,Windows 11,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,,5.00,1209.00
Dell,Dell XPS 17 9720,17.00,Platinum Silver,1000.00,Intel Core i9,32.00,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard, 32   RAM",Integrated,,,,2999.00
Dell,Latitude 7000,14.00,Carbon Fiber,256.00,Core i5,16.00,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,,798.00
dell,XPS,13.40,Evo i7-1260P,1000.00,Core i7,16.00,Windows 11,Backlit Keyboard,Integrated,,,,1355.84
ASUS,,15.60,,256.00,Core i3,8.00,Windows 11 Home,"Full,Nanoedge Bezel",Integrated,,3.00,,499.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Toughbook,CF-54F9001KM,14.00,,512.00,Core i5,16.00,Windows 10 Pro,Backlit Keyboard,Integrated,Intel HD Graphics 520,,,1195.00
Microsoft,Surface Laptop,15.00,Matte Black,512.00,Ryzen 7,16.00,Windows 10 Home,,Integrated,AMD Radeon RX Vega 11,,4.10,1299.00
Dell,M,15.60,Black,1000.00,AMD R Series,32.00,Windows 11,,GeForce RTX 3070,NVIDIA GeForce RTX 3070,,3.50,1962.99
HP,HP ProBook,14.00,,320.00,Core i5,4.00,Windows 7 Professional,,Integrated,Intel HD Graphics 3000,2.50,5.00,124.00
Panasonic,Panasonic Toughbook,12.00,SILVER BLACK,512.00,Intel Core i7,16.00,Windows 10,Pen,Integrated,,,,1773.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Precision 7770,17.30,,512.00,Intel Core i7,64.00,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX A4500,4.80,,3376.64
Dell,XPS 17 9700,17.00,Silver,1000.00,Core i9,32.00,Windows 10 Home,,NVIDIA RTX 2060,NVIDIA GeForce RTX 2060,,4.10,4999.00
MSI,Modern 14 C13M-621US,14.00,Urban Silver,1000.00,Core i7,16.00,Windows 11 Home,,Integrated,Intel Iris,,5.00,839.99
Lenovo,ThinkPad P16 Gen 1,16.00,Black,512.00,Core i7 Family,16.00,Windows 11 Pro,Backlit Keyboard,Integrated,,,4.50,1499.00
acer,C732-C6WU,11.60,Grey,32.00,Celeron N3350,4.00,Chrome OS,Memory Card Slot,Integrated,,,4.40,334.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
HP,16-f2013dx,16.00,,512.00,Intel Core i7,16.00,Windows 11 Home,Backlit Keyboard,Dedicated,Intel Iris Xe Graphics,,,1400.00
Dell,Latitude 7000,16.00,,512.00,Core i7,16.00,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,1599.99
Lenovo,ThinkPad E15 Gen 4,15.60,,512.00,Ryzen 5,16.00,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,,864.14
Dell,XPS 17 9720,17.00,,2 TB,Intel Core i9,64.00,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,4.00,5.00,3399.99
DELL,Inspiron,16.00,Silver,1000.00,Intel Core i5,32.00,Windows 11,,Integrated,Intel,,,899.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Lenovo,300e Chromebook 2nd Gen,11.60,Black,,Celeron,8.00,Chrome OS,Anti-glare Screen,UHD Graphics 600,Intel UHD Graphics 600,,,282.67
Lenovo,Chromebook,11.60,Black,32.00,A-Series,4.00,Chrome OS,Anti-glare,Integrated,,,4.20,253.46
Lenovo,ThinkBook 14 G4 IAP,14.00,,256.00,Core i5,16.00,Windows 11,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,965.99
Dell,G15 5521 Laptop,15.60,Black,1000.00,Core i7,16.00,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3060,,,1163.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Lenovo,ThinkPad X1 Yoga Gen 7,14.00,,256.00,Core i5,16.00,Windows 11,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,,,1152.45
Lenovo,Lenovo Flex 5 2 in 1,14.00,,256.00,Ryzen 3 4300U,4.00,Windows 10,Dolby,Integrated,Integrated AMD Radeon Graphics,,4.20,468.00
ASUS,ROG Strix Scar GL703GE,17.30,Black,1000.00,Core i7,16.00,Windows 10 Home,,Dedicated,NVIDIA GeForce GTX 1050 Ti,,4.30,1699.00
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Lenovo,ThinkPad P15s Gen 2,15.60,Black,1000.00,Core i7 Family,32.00,Windows 10 Pro,Anti-glare Screen,Quadro T500,,,1.00,1349.99
IVIEW,IVIEW MEGATRON 4G,14.10,Silver,64.00,Intel Celeron D,4.00,Windows 10 Pro,,Integrated,Embedded,,3.10,239.99
MSI,CPROM15843,15.60,Black,1000.00,Core i7 Family,16.00,Windows 11 Pro,,"Integrated, Dedicated",NVIDIA GeForce GTX 1050,,,1246.47
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Latitude 7420,14.00,,,Core i5,16.00,Windows 10 Pro,Anti Glare,Integrated,Intel Iris Xe Graphics,,,792.95
HP,ZBOOK 17 G3,17.30,Black,1000.00,Core i7,16.00,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,1.00,474.98
Lenovo,300e-convertible,11.60,Black,64.00,Celeron N3450,4.00,Windows 10 Home,,Integrated,Intel HD Graphics 500,,4.00,269.99
acer,Acer Swift,14.00,,512.00,Intel Core i7-1165G7,8.00,Windows 10,"Backlit Keyboard,Fingerprint Reader",Integrated,Intel Iris Xe Graphics,,2.90,599.99
MSI,,15.60,,,,32.00,,,,,,,1129.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
Dell,Latitude 7000,14.00,,256.00,Core i5,16.00,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,1359.99
Dell,Dell G16 7620,16.00,Obsidian Black,1000.00,Intel Core i7,32.00,Windows 10 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,,1374.98
MSI,CreatorPro X17 A12UKS-059,17.30,Black,1000.00,Core i9,32.00,Windows 11,,Dedicated,NVIDIA Quadro RTX 3000,,5.00,4499.00
Lenovo,Lenovo Ideapad,15.60,,256.00,Core i3,4.00,Windows 11 Home in S Mode,,Integrated,,2.40,3.70,360.00
Dell,Alienware m18 Laptop,18.00,Black,2000.00,Core i9,64.00,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 4080,,,3416.35
MSI,,15.60,,,,32.00,,,,,3.50,5.00,1159.99
Dell,Latitude 7320 Detachable 2-in-1,13.00,Black,256.00,Core i5,8.00,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,3.00,749.99
ASUS,E410MA-TB.CL464,14.00,,64.00,Celeron,4.00,Windows 11 S,,Integrated,Intel UHD Graphics 600,1.10,4.60,229.99
ROKC,,15.60,Blue,1152.00,Pentium,20.00,Windows 11,,Integrated,Intel,1.10,5.00,389.99
HP,,15.60,Black,1000.00,Pentium N5000,16.00,Windows 11,,Integrated,Intel,1.10,4.40,459.99
ROKC,Ideapad 3,15.60,Gray,1000.00,Intel Core i5,20.00,Windows 11,,Integrated,Intel,,,639.99
ROKC,,14.00,Blue,1000.00,Intel Core i7,8.00,Windows 11,,Integrated,Intel,1.20,,589.99
HP,,15.60,Silver,1000.00,Intel Core i5,64.00,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.50,999.99
HP,HP Stream,11.60,,32.00,Others,4.00,Windows 10,,Integrated,,1.00,4.80,176.24
